method,method_index,name,period,distance
Radial Velocity,7,HD 208897 b,353,65
Radial Velocity,7,HD 209458 b,4,47
Radial Velocity,7,HD 210277 b,442,21
Radial Velocity,7,HD 210702 b,355,56
Radial Velocity,7,HD 212301 b,2,53
Radial Velocity,7,HD 212771 b,373,122
Radial Velocity,7,HD 213240 b,883,41
Radial Velocity,7,HD 214823 b,1,877,97
Radial Velocity,7,HD 215152 b,6,22
Radial Velocity,7,HD 215152 c,7,22
Radial Velocity,7,HD 215152 d,11,22
Radial Velocity,7,HD 215152 e,25,22
Radial Velocity,7,HD 215497 b,4,44
Radial Velocity,7,HD 215497 c,568,44
Radial Velocity,7,HD 216435 b,1,311,33
Radial Velocity,7,HD 216437 b,1,256,27
Radial Velocity,7,HD 216536 b,149,369
Radial Velocity,7,HD 216770 b,118,38
Radial Velocity,7,HD 217107 b,7,20
Radial Velocity,7,HD 217107 c,4,270,20
Radial Velocity,7,HD 217786 b,1,319,55
Radial Velocity,7,HD 218566 b,226,30
Radial Velocity,7,HD 219077 b,5,501,29
Radial Velocity,7,HD 219134 b,3,7
Radial Velocity,7,HD 219134 c,7,7
Radial Velocity,7,HD 219134 d,47,7
Radial Velocity,7,HD 219134 f,23,7
Radial Velocity,7,HD 219134 g,94,7
Radial Velocity,7,HD 219134 h,2,247,7
Radial Velocity,7,HD 219415 b,2,093,170
Radial Velocity,7,HD 219828 b,4,78
Radial Velocity,7,HD 219828 c,4,791,78
Radial Velocity,7,HD 220074 b,672,289
Radial Velocity,7,HD 220689 b,2,209,45
Radial Velocity,7,HD 220773 b,3,725,49
Radial Velocity,7,HD 220842 b,218,63
Radial Velocity,7,HD 221287 b,456,53
Radial Velocity,7,HD 221585 b,1,173,54
Radial Velocity,7,HD 222076 b,871,84
Radial Velocity,7,HD 222155 b,3,999,50
Radial Velocity,7,HD 222582 b,572,42
Radial Velocity,7,HD 224538 b,1,189,78
Radial Velocity,7,HD 224693 b,27,94
Radial Velocity,7,HD 231701 b,142,108
Radial Velocity,7,HD 233604 b,192,673
Radial Velocity,7,HD 238914 b,4,100,301
Radial Velocity,7,HD 240210 b,502,143
Radial Velocity,7,HD 240237 b,746,308
Radial Velocity,7,HD 285507 b,6,42
Radial Velocity,7,HD 285968 b,9,9
Radial Velocity,7,HD 290327 b,2,443,57
Radial Velocity,7,HD 330075 b,3,50
Radial Velocity,7,HIP 5158 b,346,45
Radial Velocity,7,HIP 5158 c,9,018,45
Radial Velocity,7,HIP 8541 b,1,560,169
